"Expert","UrlType","Url","Status","ResponseLength","Title","AuthwallDetected","CollectedAt"
"Ross Simmonds","ProfileUrl","https://www.linkedin.com/in/rosssimmonds","200","482051","Ross Simmonds - Foundation Marketing | LinkedIn","True","2026-06-16"
"Ross Simmonds","ActivityUrl","https://www.linkedin.com/in/rosssimmonds/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Dave Gerhardt","ProfileUrl","https://www.linkedin.com/in/davegerhardt","200","455062","Dave Gerhardt - Exit Five | LinkedIn","True","2026-06-16"
"Dave Gerhardt","ActivityUrl","https://www.linkedin.com/in/davegerhardt/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Chris Walker","ProfileUrl","https://www.linkedin.com/in/chriswalker171","200","585384","Chris Walker - CEO @ ENCODED | Nervous System Capacity Training | Author of “The Frequency Era” Out Now | Biomedical Engineer & Entrepeneur | Exploring the Next Level of Human Potential & Performance ⚡️ | LinkedIn","True","2026-06-16"
"Chris Walker","ActivityUrl","https://www.linkedin.com/in/chriswalker171/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Ali Schwanke","ProfileUrl","https://www.linkedin.com/in/alischwanke","200","518526","Ali Schwanke - Marketing Deconstructed | LinkedIn","True","2026-06-16"
"Ali Schwanke","ActivityUrl","https://www.linkedin.com/in/alischwanke/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Tyler Lessard","ProfileUrl","https://www.linkedin.com/in/tylerlessard","200","462676","Tyler Lessard 🎯 - TechnologyAdvice | LinkedIn","True","2026-06-16"
"Tyler Lessard","ActivityUrl","https://www.linkedin.com/in/tylerlessard/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Justin Simon","ProfileUrl","https://www.linkedin.com/in/justinsimon44","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Justin Simon","ActivityUrl","https://www.linkedin.com/in/justinsimon44/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Devin Reed","ProfileUrl","https://www.linkedin.com/in/devinreed","200","825496","Devin Reed - The Reeder | LinkedIn","True","2026-06-16"
"Devin Reed","ActivityUrl","https://www.linkedin.com/in/devinreed/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Sam Dunning","ProfileUrl","https://www.linkedin.com/in/samueljamesdunning","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Sam Dunning","ActivityUrl","https://www.linkedin.com/in/samueljamesdunning/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"Chris Savage","ProfileUrl","https://www.linkedin.com/in/cjsavage","200","666149","Chris Savage - Wistia | LinkedIn","True","2026-06-16"
"Chris Savage","ActivityUrl","https://www.linkedin.com/in/cjsavage/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
"TK Kader","ProfileUrl","https://www.linkedin.com/in/tkkader","200","772178","TK Kader - Growth Partner to Scaling CEOs. ex- Bridgewater, ToutApp (a16z), Marketo (Vista). | LinkedIn","True","2026-06-16"
"TK Kader","ActivityUrl","https://www.linkedin.com/in/tkkader/recent-activity/all/","999","0","Response status code does not indicate success: 999 (<none>).","True","2026-06-16"
