"Expert","Handle","ChannelId","VideoTitle","VideoUrl","Published","CollectedAt"
"Ali Schwanke / HubSpot Hacks","HubSpotHacks","UCuMAttNQze1GaVfiQ7rMcfA","HubSpot Health Scores Explained: Setup, Scoring Rules, and Sentiment Thresholds","https://www.youtube.com/watch?v=fjxvPUoiWDE","2026-06-15T12:00:06+00:00","2026-06-16"
"Ali Schwanke / HubSpot Hacks","HubSpotHacks","UCuMAttNQze1GaVfiQ7rMcfA","How to Add Contacts, Companies, and Deals to HubSpot Segments Manually","https://www.youtube.com/watch?v=xG2KRmejPXw","2026-06-08T13:00:38+00:00","2026-06-16"
"Ali Schwanke / HubSpot Hacks","HubSpotHacks","UCuMAttNQze1GaVfiQ7rMcfA","How to Use HubSpot Segments to Build Smarter Marketing Audiences","https://www.youtube.com/watch?v=WZPs0KI_Hjw","2026-06-01T12:00:22+00:00","2026-06-16"
"Tyler Lessard / Vidyard","Vidyard","UClPXUKv7UmiS3G7gWYgpRzA","AI Avatars, A Whole New Way To Create Personalized Videos At Scale","https://www.youtube.com/watch?v=BrArpSBPDTw","2024-04-16T13:20:23+00:00","2026-06-16"
"Tyler Lessard / Vidyard","Vidyard","UClPXUKv7UmiS3G7gWYgpRzA","The Most Influential Women in Sales Share Their Top Tactics and Tips","https://www.youtube.com/watch?v=K8CrbXF6HUw","2023-11-06T22:20:19+00:00","2026-06-16"
"Tyler Lessard / Vidyard","Vidyard","UClPXUKv7UmiS3G7gWYgpRzA","Find More Leads with Vidyard Prospector: Your Go-To Sales Prospecting Tool","https://www.youtube.com/watch?v=z0FTmjrQG1M","2023-11-01T14:05:11+00:00","2026-06-16"
"Sam Dunning","SamDunning","UC7OhjYB9-p0b6ZNnXMOzjLQ","How We Fixed the SEO & AEO of This SaaS","https://www.youtube.com/watch?v=yK1N6krMcrA","2026-06-11T18:53:58+00:00","2026-06-16"
"Sam Dunning","SamDunning","UC7OhjYB9-p0b6ZNnXMOzjLQ","This Boring SaaS AI SEO Strategy Prints Demos in 2026","https://www.youtube.com/watch?v=iWzJAmz3mfU","2026-06-08T10:27:33+00:00","2026-06-16"
"Sam Dunning","SamDunning","UC7OhjYB9-p0b6ZNnXMOzjLQ","Summer of 69...B2B marketing edition","https://www.youtube.com/watch?v=69G4uWheSEA","2026-05-26T11:27:29+00:00","2026-06-16"
"Wistia / Chris Savage","wistia","UC2niGrPaYvCwBE2y3Yl_TvQ","Wistia Product Spotlight: June 2026","https://www.youtube.com/watch?v=DK2G9Mo-DY4","2026-06-09T14:46:25+00:00","2026-06-16"
"Wistia / Chris Savage","wistia","UC2niGrPaYvCwBE2y3Yl_TvQ","Wistia + Klaviyo: Turn Viewers into Customers Automatically","https://www.youtube.com/watch?v=AE-bwa0i0aI","2026-06-04T17:00:23+00:00","2026-06-16"
"Wistia / Chris Savage","wistia","UC2niGrPaYvCwBE2y3Yl_TvQ","How to turn 1 long video into 10 shorts instantly ⚡ #videomarketing #efficiency #tutorial","https://www.youtube.com/shorts/Xmw5qoQRhMo","2026-06-02T23:00:24+00:00","2026-06-16"
"TK Kader","TKKader","UCUseoG3kofRLS6WoUaL_15w","The 7 SaaS Ideas I'd Build in 2026 If I Could Start Over","https://www.youtube.com/watch?v=scM150NpNZ4","2026-06-14T16:00:31+00:00","2026-06-16"
"TK Kader","TKKader","UCUseoG3kofRLS6WoUaL_15w","The Fastest Way to Get 1,000 Paying SaaS Customers in 2026","https://www.youtube.com/watch?v=8KVqebVRXe8","2026-06-07T16:00:29+00:00","2026-06-16"
"TK Kader","TKKader","UCUseoG3kofRLS6WoUaL_15w","Best SaaS Marketing Playbook to Hit $10M ARR in 2026","https://www.youtube.com/watch?v=HQZMyxBvz_0","2026-05-31T16:00:21+00:00","2026-06-16"
"Cognism","Cognism","UCyCj5T9mGC-9uPRnVaqA-dQ","From false signals to real conversation | Naomi Wallis, Business Development at Conran Design Group","https://www.youtube.com/watch?v=Igh8QV6VedI","2026-05-29T06:00:31+00:00","2026-06-16"
"Cognism","Cognism","UCyCj5T9mGC-9uPRnVaqA-dQ","The RevOps Review | Inside Jeff Ignacio’s RevOps AF keynote: The future of RevOps with AI","https://www.youtube.com/watch?v=vI9xn64joxE","2026-05-22T06:00:01+00:00","2026-06-16"
"Cognism","Cognism","UCyCj5T9mGC-9uPRnVaqA-dQ","The reply rate crisis | Phil Woolley, BDR Lead at G2","https://www.youtube.com/watch?v=HAV5Zn63Y7w","2026-05-12T06:00:19+00:00","2026-06-16"
"Metadata.io","Metadataio","UC97TQ8fPTt9DK3zk3cPPnCA","Carol-Lyn Jardine, Suzanne Wholley, Johan Abadie & Treynor Tetik - Inside the Shift for GTM Leaders","https://www.youtube.com/watch?v=Zo9mXkhszlU","2026-05-30T17:00:04+00:00","2026-06-16"
"Metadata.io","Metadataio","UC97TQ8fPTt9DK3zk3cPPnCA","Matt Hammel - SEO to AEO. Winning search in a World of Agents","https://www.youtube.com/watch?v=62U9pYenX80","2026-05-28T17:00:01+00:00","2026-06-16"
"Metadata.io","Metadataio","UC97TQ8fPTt9DK3zk3cPPnCA","Gil Allouche - Scaling GTM with AI: 5 Real Examples of Autonomous Execution","https://www.youtube.com/watch?v=z-MdWjUxf3I","2026-05-26T17:00:22+00:00","2026-06-16"
