"Source","Video","VideoId","Url","Status","Segments","OutputFile","CollectedAt"
"HubSpot Hacks","HubSpot Health Scores Explained: Setup, Scoring Rules, and Sentiment Thresholds","fjxvPUoiWDE","https://www.youtube.com/watch?v=fjxvPUoiWDE","success","249","research\youtube-transcripts\collected\hubspot-hacks-fjxvPUoiWDE.md","2026-06-16"
"HubSpot Hacks","How to Use HubSpot Segments to Build Smarter Marketing Audiences","WZPs0KI_Hjw","https://www.youtube.com/watch?v=WZPs0KI_Hjw","success","205","research\youtube-transcripts\collected\hubspot-hacks-WZPs0KI_Hjw.md","2026-06-16"
"Sam Dunning","How We Fixed the SEO & AEO of This SaaS","yK1N6krMcrA","https://www.youtube.com/watch?v=yK1N6krMcrA","success","168","research\youtube-transcripts\collected\sam-dunning-yK1N6krMcrA.md","2026-06-16"
"Sam Dunning","This Boring SaaS AI SEO Strategy Prints Demos in 2026","iWzJAmz3mfU","https://www.youtube.com/watch?v=iWzJAmz3mfU","success","481","research\youtube-transcripts\collected\sam-dunning-iWzJAmz3mfU.md","2026-06-16"
"Wistia","Wistia + Klaviyo: Turn Viewers into Customers Automatically","AE-bwa0i0aI","https://www.youtube.com/watch?v=AE-bwa0i0aI","success","20","research\youtube-transcripts\collected\wistia-AE-bwa0i0aI.md","2026-06-16"
"Wistia","How to turn 1 long video into 10 shorts instantly","Xmw5qoQRhMo","https://www.youtube.com/shorts/Xmw5qoQRhMo","Error","0","","2026-06-16"
"TK Kader","The Fastest Way to Get 1,000 Paying SaaS Customers in 2026","8KVqebVRXe8","https://www.youtube.com/watch?v=8KVqebVRXe8","success","279","research\youtube-transcripts\collected\tk-kader-8KVqebVRXe8.md","2026-06-16"
"TK Kader","Best SaaS Marketing Playbook to Hit $10M ARR in 2026","HQZMyxBvz_0","https://www.youtube.com/watch?v=HQZMyxBvz_0","success","476","research\youtube-transcripts\collected\tk-kader-HQZMyxBvz_0.md","2026-06-16"
"Cognism","The RevOps Review: Inside Jeff Ignacio's RevOps AF keynote","vI9xn64joxE","https://www.youtube.com/watch?v=vI9xn64joxE","success","611","research\youtube-transcripts\collected\cognism-vI9xn64joxE.md","2026-06-16"
"Metadata.io","SEO to AEO. Winning search in a World of Agents","62U9pYenX80","https://www.youtube.com/watch?v=62U9pYenX80","success","28","research\youtube-transcripts\collected\metadata-io-62U9pYenX80.md","2026-06-16"
